"";"lemma";"tense";"mood";"verbform";"senti_ws";"freq"
"125";"finanzieren";"Pres";"Ind";"Fin";"0.004";11
"126";"investieren";"Pres";"Ind";"Fin";"0.004";11
"127";"anerkennen";"-";"-";"Inf";"0.004";11
"128";"helfen";"-";"-";"Inf";"0.373";11
"129";"zurückdrängen";"-";"-";"-";"-";10
"130";"arbeiten";"Pres";"Ind";"Fin";"-";10
"131";"werden";"Pres";"Ind";"Fin";"-";10
"132";"bekennen";"-";"-";"Inf";"-";10
"133";"herstellen";"-";"-";"Inf";"-";10
"134";"leisten";"-";"-";"Inf";"-";10
"135";"zulassen";"-";"-";"Inf";"-";10
"136";"senken";"Pres";"Ind";"Fin";"-0.0596";10
"137";"schließen";"-";"-";"Inf";"-0.211";10
"138";"erneuern";"-";"-";"Inf";"0.004";10
"139";"finanzieren";"-";"-";"Inf";"0.004";10
"140";"gestalten";"Past";"Ind";"Fin";"-";9
"141";"begreifen";"Pres";"Ind";"Fin";"-";9
"142";"erleben";"Pres";"Ind";"Fin";"-";9
"143";"gehören";"Pres";"Ind";"Fin";"-";9
"144";"plädieren";"Pres";"Ind";"Fin";"-";9
"145";"prüfen";"Pres";"Ind";"Fin";"-";9
"146";"auflegen";"-";"-";"Inf";"-";9
"147";"bewahren";"-";"-";"Inf";"-";9
"148";"einleiten";"-";"-";"Inf";"-";9
"149";"entgegenwirken";"-";"-";"Inf";"-";9
"150";"festlegen";"-";"-";"Inf";"-";9
"151";"hinwirken";"-";"-";"Inf";"-";9
"152";"überführen";"-";"-";"Inf";"-";9
"153";"überprüfen";"-";"-";"Inf";"-";9
"154";"fordern";"-";"-";"Part";"-";9
"155";"anheben";"-";"-";"Part";"0.004";9
"156";"bekämpfen";"-";"-";"-";"-";8
"157";"messen";"-";"-";"-";"-";8
"158";"treten";"-";"-";"-";"-";8
"159";"ändern";"Pres";"Ind";"Fin";"-";8
"160";"befürworten";"Pres";"Ind";"Fin";"-";8
"161";"orientieren";"Pres";"Ind";"Fin";"-";8
"162";"verfolgen";"Pres";"Ind";"Fin";"-";8
"163";"arbeiten";"-";"-";"Inf";"-";8
"164";"aufbauen";"-";"-";"Inf";"-";8
"165";"ausstatten";"-";"-";"Inf";"-";8
"166";"fortsetzen";"-";"-";"Inf";"-";8
"167";"schlagen";"-";"-";"Inf";"-0.0306";8
"168";"sichern";"Pres";"Ind";"Fin";"0.004";8
"169";"anpassen";"-";"-";"Inf";"0.004";8
"170";"beteiligen";"-";"-";"Inf";"0.004";8
"171";"erweitern";"-";"-";"Inf";"0.004";8
"172";"überwinden";"-";"-";"Inf";"0.004";8
"173";"erhalten";"-";"-";"Part";"0.004";8
"174";"verdoppeln";"-";"-";"-";"-";7
"175";"bringen";"Pres";"Ind";"Fin";"-";7
"176";"dringen|drängen";"Pres";"Ind";"Fin";"-";7
"177";"entwickeln";"Pres";"Ind";"Fin";"-";7
"178";"ersetzen";"Pres";"Ind";"Fin";"-";7
"179";"heißen";"Pres";"Ind";"Fin";"-";7
"180";"lassen";"Pres";"Ind";"Fin";"-";7
"181";"tragen";"Pres";"Ind";"Fin";"-";7
"182";"werben";"Pres";"Ind";"Fin";"-";7
"183";"erkennen";"-";"-";"Inf";"-";7
"184";"finden";"-";"-";"Inf";"-";7
"185";"korrigieren";"-";"-";"Inf";"-";7
"186";"leben";"-";"-";"Inf";"-";7
"187";"tragen";"-";"-";"Inf";"-";7
"188";"umkehren";"-";"-";"Inf";"-";7
"189";"umwandeln";"-";"-";"Inf";"-";7
"190";"verpflichten";"-";"-";"Inf";"-";7
"191";"zurücknehmen";"-";"-";"Inf";"-";7
"192";"angehen";"-";"-";"Part";"-";7
"193";"begrenzen";"Pres";"Ind";"Fin";"-0.0048";7
"194";"beschränken";"-";"-";"Inf";"-0.0048";7
"195";"verurteilen";"Pres";"Ind";"Fin";"-0.77";7
"196";"ausbauen";"Pres";"Ind";"Fin";"0.004";7
"197";"engagieren";"Pres";"Ind";"Fin";"0.004";7
"198";"beitragen";"-";"-";"Inf";"0.004";7
"199";"beschleunigen";"-";"-";"Inf";"0.004";7
"200";"anpassen";"-";"-";"Part";"0.004";7
"201";"achten";"Past";"Ind";"Fin";"-";6
"202";"denken";"Pres";"Ind";"Fin";"-";6
"203";"glauben";"Pres";"Ind";"Fin";"-";6
"204";"sein";"Pres";"Ind";"Fin";"-";6
"205";"suchen";"Pres";"Ind";"Fin";"-";6
"206";"wehren";"Pres";"Ind";"Fin";"-";6
"207";"ablösen";"-";"-";"Inf";"-";6
"208";"aufheben";"-";"-";"Inf";"-";6
"209";"ausrichten";"-";"-";"Inf";"-";6
"210";"einbringen";"-";"-";"Inf";"-";6
"211";"fortführen";"-";"-";"Inf";"-";6
"212";"gehen";"-";"-";"Inf";"-";6
"213";"regulieren";"-";"-";"Inf";"-";6
"214";"unternehmen";"-";"-";"Inf";"-";6
"215";"verknüpfen";"-";"-";"Inf";"-";6
"216";"vorlegen";"-";"-";"Inf";"-";6
"217";"besteuern";"-";"-";"Inf";"-0.0048";6
"218";"einschränken";"-";"-";"Inf";"-0.3327";6
"219";"kämpfen";"-";"-";"-";"-0.3467";6
"220";"ablehnen";"-";"-";"Part";"-0.6458";6
"221";"bereit";"-";"-";"-";"0.004";6
"222";"möglich";"-";"-";"-";"0.004";6
"223";"akzeptieren";"Pres";"Ind";"Fin";"0.004";6
"224";"anbieten";"-";"-";"Inf";"0.004";6
"225";"befreien";"-";"-";"Inf";"0.004";6
"226";"bereitstellen";"-";"-";"Inf";"0.004";6
"227";"steigern";"-";"-";"Inf";"0.004";6
"228";"ergänzen";"-";"-";"Inf";"0.2074";6
"229";"anstoßen";"-";"-";"-";"-";5
"230";"aufbrechen";"-";"-";"-";"-";5
"231";"begrüßen";"-";"-";"-";"-";5
"232";"Teil";"-";"-";"-";"-";5
"233";"wenden";"-";"-";"-";"-";5
"234";"ausrichten";"Past";"Ind";"Fin";"-";5
"235";"erwarten";"Past";"Ind";"Fin";"-";5
"236";"starten";"Past";"Ind";"Fin";"-";5
"237";"wirtschafen";"Past";"Ind";"Fin";"-";5
"238";"betrachten";"Pres";"Ind";"Fin";"-";5
"239";"einführen";"Pres";"Ind";"Fin";"-";5
"240";"erwarten";"Pres";"Ind";"Fin";"-";5
"241";"nutzen";"Pres";"Ind";"Fin";"-";5
"242";"reformieren";"Pres";"Ind";"Fin";"-";5
"243";"treiben";"Pres";"Ind";"Fin";"-";5
"244";"versprechen";"Pres";"Ind";"Fin";"-";5
"245";"berücksichtigen";"-";"-";"Inf";"-";5
"246";"einräumen";"-";"-";"Inf";"-";5
"247";"entscheiden";"-";"-";"Inf";"-";5
"248";"ergreifen";"-";"-";"Inf";"-";5
"249";"erschließen";"-";"-";"Inf";"-";5
"250";"etablieren";"-";"-";"Inf";"-";5
"251";"festschreiben";"-";"-";"Inf";"-";5
"252";"hinnehmen";"-";"-";"Inf";"-";5
